Repository_Name,2023-01-08T00:00:00Z,2023-01-09T00:00:00Z,2023-01-10T00:00:00Z,2023-01-11T00:00:00Z,2023-01-12T00:00:00Z,2023-01-13T00:00:00Z,2023-01-14T00:00:00Z,2023-01-15T00:00:00Z,2023-01-16T00:00:00Z,2023-01-17T00:00:00Z,2023-01-18T00:00:00Z,2023-01-19T00:00:00Z,2023-01-20T00:00:00Z,2023-01-21T00:00:00Z,2023-01-22T00:00:00Z,2023-01-23T00:00:00Z,2023-01-24T00:00:00Z,2023-01-25T00:00:00Z,2023-01-26T00:00:00Z,2023-01-27T00:00:00Z,2023-01-28T00:00:00Z,2023-01-29T00:00:00Z,2023-01-30T00:00:00Z,2023-01-31T00:00:00Z,2023-02-01T00:00:00Z,2023-02-02T00:00:00Z,2023-02-03T00:00:00Z,2023-02-04T00:00:00Z,2023-02-05T00:00:00Z,2023-02-06T00:00:00Z,2023-02-07T00:00:00Z,2023-02-08T00:00:00Z,2023-02-09T00:00:00Z,2023-02-10T00:00:00Z,2023-02-11T00:00:00Z,2023-02-12T00:00:00Z,2023-02-13T00:00:00Z,2023-02-14T00:00:00Z,2023-02-15T00:00:00Z,2023-02-16T00:00:00Z,2023-02-17T00:00:00Z,2023-02-18T00:00:00Z,2023-02-19T00:00:00Z,2023-02-20T00:00:00Z,2023-02-21T00:00:00Z,2023-02-22T00:00:00Z,2023-02-23T00:00:00Z,2023-02-24T00:00:00Z,2023-02-25T00:00:00Z,2023-02-26T00:00:00Z,2023-02-27T00:00:00Z,2023-02-28T00:00:00Z,2023-03-01T00:00:00Z,2023-03-02T00:00:00Z,2023-03-03T00:00:00Z,2023-03-04T00:00:00Z,2023-03-05T00:00:00Z,2023-03-06T00:00:00Z,2023-03-07T00:00:00Z,2023-03-08T00:00:00Z,2023-03-09T00:00:00Z,2023-03-10T00:00:00Z,2023-03-11T00:00:00Z,2023-03-12T00:00:00Z,2023-03-13T00:00:00Z,2023-03-14T00:00:00Z,2023-03-15T00:00:00Z,2023-03-16T00:00:00Z,2023-03-17T00:00:00Z,2023-03-18T00:00:00Z,2023-03-19T00:00:00Z,2023-03-20T00:00:00Z,2023-03-21T00:00:00Z,2023-03-22T00:00:00Z,2023-03-23T00:00:00Z,2023-03-24T00:00:00Z,2023-03-25T00:00:00Z,2023-03-26T00:00:00Z,2023-03-27T00:00:00Z,2023-03-28T00:00:00Z,2023-03-29T00:00:00Z,2023-03-30T00:00:00Z,2023-03-31T00:00:00Z,2023-04-01T00:00:00Z,2023-04-02T00:00:00Z,2023-04-03T00:00:00Z,2023-04-04T00:00:00Z,2023-04-05T00:00:00Z,2023-04-06T00:00:00Z,2023-04-07T00:00:00Z,2023-04-08T00:00:00Z,2023-04-09T00:00:00Z,2023-04-10T00:00:00Z,2023-04-11T00:00:00Z,2023-04-12T00:00:00Z,2023-04-13T00:00:00Z,2023-04-14T00:00:00Z,2023-04-15T00:00:00Z,2023-04-16T00:00:00Z,2023-04-17T00:00:00Z,2023-04-18T00:00:00Z,2023-04-19T00:00:00Z,2023-04-20T00:00:00Z,2023-04-21T00:00:00Z,2023-04-22T00:00:00Z,2023-04-23T00:00:00Z,2023-04-24T00:00:00Z,2023-04-25T00:00:00Z,2023-04-26T00:00:00Z,2023-04-27T00:00:00Z,2023-04-28T00:00:00Z,2023-04-29T00:00:00Z,2023-04-30T00:00:00Z,2023-05-01T00:00:00Z,2023-05-02T00:00:00Z,2023-05-03T00:00:00Z,2023-05-04T00:00:00Z,2023-05-05T00:00:00Z,2023-05-06T00:00:00Z,2023-05-07T00:00:00Z,2023-05-08T00:00:00Z,2023-05-09T00:00:00Z,2023-05-10T00:00:00Z,2023-05-11T00:00:00Z,2023-05-12T00:00:00Z,2023-05-13T00:00:00Z,2023-05-14T00:00:00Z,2023-05-15T00:00:00Z,2023-05-16T00:00:00Z,2023-05-17T00:00:00Z,2023-05-18T00:00:00Z,2023-05-19T00:00:00Z,2023-05-20T00:00:00Z,2023-05-21T00:00:00Z,2023-05-22T00:00:00Z,2023-05-23T00:00:00Z,2023-05-24T00:00:00Z,2023-05-26T00:00:00Z,2023-05-25T00:00:00Z,2023-05-27T00:00:00Z,2023-05-28T00:00:00Z,2023-05-29T00:00:00Z,2023-05-30T00:00:00Z
EMR_Studio_Hudi,,,,2,,,,,1,1,,1,1,,1,1,,,1,2,,1,,,,1,1,,,,3,,,1,,,1,,1,1,,,1,1,1,2,1,,,,,1,,1,,1,,2,,,1,2,1,,,1,2,,2,2,,1,1,1,,3,,,,,1,1,,,,2,3,,1,3,3,1,1,2,1,2,,,,,,,,1,,1,1,2,1,,,,,1,,1,1,,,1,,,,,1,,,,1,1,,1,,,2,2,,,,,,,
EMR_Studio_Iceberg,,,1,,,1,,,1,5,1,1,1,,,,2,,,2,,,,,,,2,,,,,,,,,1,,,1,,,1,,,1,,,,,,,,,,1,,,1,,,,1,,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,1,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,1,
EMR_Studio_Stock_Price_Demo,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
Flink_Kinesis_Data_Analytics,,6,2,4,2,2,,2,4,1,4,2,1,2,1,1,3,1,2,1,1,3,1,1,1,6,2,,1,7,1,5,6,2,,1,1,2,7,5,6,,1,6,2,7,,2,1,1,7,,8,2,3,1,2,4,7,2,7,1,4,1,1,1,6,5,3,1,1,6,5,1,2,4,,2,1,1,8,4,3,1,,5,4,,2,4,1,1,3,7,4,1,4,1,2,4,6,5,4,4,,3,4,2,4,3,2,,,4,3,1,4,2,,1,1,4,2,5,2,1,,1,1,5,4,4,1,1,6,2,1,2,4,2,1,1,3
Flink_Kinesis_Data_Analytics_Scala,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flink_Late_Arriving_Date_Event_Order,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fluentd_Examples,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-quadruplex_in_HSV,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub_Insigths_History,,,,,,,,,,,,1,1,,1,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,1,,,,1,1,1,,1,,,1,1
Glue_Examples,,1,1,,,,,,1,1,1,,1,,,,,1,1,,,,2,,,1,1,,,,1,,,,,1,,,,,,,,1,,,,2,,1,1,1,,,2,1,,1,,1,,,,,,1,,1,,,,1,,,1,2,,,4,1,1,2,,,,,,,1,1,,,,3,1,,,,,,1,,,1,,,,,,,1,1,1,,1,1,2,,,,1,,1,,1,,,1,,,3,,,,,,1,1,1,,,1,
Hackathon_Projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudi_Glue,,,1,1,1,,,,,,1,1,,,,,,,1,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_Baro_GPS,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kinesis_Data_Stream_Hot_Shard_Demo,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,1,,,,,,,,,1,,,2,,,,,,,,,,,,,4,1,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,1,,,,,,1,,,,,,,,
Local_Auth_w_Passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logstash_Example,,,,,,,,,,,1,,,,,,1,1,1,,,,,,,,2,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managed_Streaming_for_Apache_Kafka_Examples,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenSearch_API_Examples,,1,1,1,1,1,,,,,,2,3,,1,1,,,,1,,,1,1,,1,,,1,1,1,,,1,,,,,2,2,,,,2,2,,,,,,2,,1,2,,,,1,3,,,,,,,1,1,3,2,,1,1,1,1,1,1,,,,,,2,5,1,1,1,,1,2,2,,,,1,,1,1,,1,2,1,1,,,1,1,2,1,1,,,,,1,1,1,1,1,,1,1,1,,,,,,1,2,1,1,3,1,,1,,2,1,,,,,
OpenSearch_Audit_Logs,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
OpenSearch_CloudWatch_Alarms,,10,4,2,3,2,,1,5,5,5,8,1,1,1,5,2,1,2,8,,1,2,2,9,6,5,1,2,10,2,4,14,2,,1,5,1,5,14,4,2,,7,10,7,3,3,1,2,1,5,1,4,4,,,1,10,13,5,11,1,,12,2,6,13,3,1,1,10,8,10,1,7,,1,3,1,5,6,6,,3,8,7,2,8,4,,,3,14,2,5,10,1,,13,6,5,12,,,2,4,6,5,6,6,,,1,1,1,10,6,1,1,1,3,1,17,8,,1,1,1,6,,3,3,1,4,1,7,6,5,,1,2,3
OpenSearch_Dashboard_Nginx_Proxy,,6,2,1,1,2,,4,1,3,7,1,2,2,1,6,5,1,1,5,2,,1,3,10,11,1,1,,12,8,9,7,9,2,,2,13,14,8,4,3,1,8,2,6,6,4,,2,7,6,4,4,10,4,3,2,7,11,4,5,1,,7,4,13,8,8,2,1,3,10,4,9,10,4,3,2,3,8,8,14,3,,5,18,5,12,8,1,,8,6,5,1,1,3,1,5,13,10,10,7,2,,12,4,10,8,16,2,4,1,1,1,8,7,2,4,1,2,2,8,7,4,5,1,7,9,7,9,2,3,8,7,14,8,8,4,1,7,2
OpenSearch_DeletedDocuments,,1,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,1,,,1,1,,,,1,,,,,,,1,,,3,,,1,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,1,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,
OpenSearch_DynamoDB_Example,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
OpenSearch_Index_Shard_Size,1,1,1,2,,,,,,,1,2,1,,1,,,,,,,,,,,,,,,,,,1,,,,,2,1,,,,,3,2,,,,,,,,,1,,,,,,5,1,,2,,,1,,4,,,,1,,3,2,,,,,,,,1,,,,,,2,,,,,,,,,,,,,2,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,1,2,1,,,,1,
OpenSearch_Kafka_Anomaly_Detection,,2,,1,2,,,,,,1,,,,1,,1,,,1,1,,1,2,2,1,,,1,1,2,3,,1,,,,,,2,1,1,,,,1,2,2,,,,2,,,,,,1,1,1,,1,,,,3,,,1,,,,1,1,1,,,,1,,,,,,,2,1,,2,1,,,1,2,2,,1,,,1,1,,1,1,,,2,1,3,2,5,3,,1,,1,1,2,1,2,1,1,1,1,2,,1,1,2,1,2,,,,1,,1,,1,,,,1
OpenSearch_Log_Analytics,,3,1,1,1,,1,1,2,2,1,,1,,1,,,2,,,,,1,,,,1,,,2,1,,4,2,2,,1,2,1,1,1,1,1,2,1,2,,1,,1,2,3,2,1,1,,,1,2,2,1,,,,1,1,,2,1,,1,1,,,2,1,,,1,,,1,1,,,,1,3,2,1,2,1,3,1,2,1,3,,1,1,1,1,2,2,,1,3,1,,,1,,,1,2,,2,,,,1,,,,,,,,1,,,,,,,1,,,1,,,1,
OpenSearch_Refresh_Interval,1,1,,1,1,,,,,,1,1,1,,1,1,,,,,,,,,,1,,,,,,,,1,,,1,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,3,3,,1,,,1,1
OpenSearch_Sigv4_IAM_Auth,,1,,,,,,,,,,,2,,,,,1,,,,,,1,,2,,,,3,1,2,,1,,,,1,,,,,,4,2,,,,,,,,,3,1,,,1,2,1,,,,,,,1,,,,,1,,,1,1,,,,,,,1,,,,,1,,1,,,,,,,1,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,1,,,1,,,1,,1,,,,,
Outlook_MSG_Parser_Python,,,1,,1,1,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,1,,,,,,,,,2,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,
Payment_w_Stripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python_Web_Scraping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Quadcopter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick_Twitter_Sentiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
react-toDo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redshift_Data_Sharing_Demo,,1,1,1,,,,,,,1,1,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redshift_Helpful_Queries,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurant_Order_Web_Application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,
RESTful_API,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESTful_API_w_node-restful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robotic_Arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simple_Python_Neural_Net,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
